"","ProbeID","Codeset.Name","Probe.Label","Analyte.Type","Is.Control","Control.Type","Probe.Annotation","KEGG.Pathways","Cell.Type","Official.Gene.Name","probeLabel.Type","below.threshold"
"CD3E - mRNA","NM_000733.2:75","NS_HS_GLIAL_V1.0","CD3E","mRNA",0,"","T-cell signaling","hsa04640;hsa04660;hsa05142;hsa05162;hsa05166;hsa05340","T-cells","CD3E","CD3E - mRNA","True"
"CTSW - mRNA","NM_001335.3:1075","NS_HS_GLIAL_V1.0","CTSW","mRNA",0,"","Apoptosis","hsa04142","Cytotoxic cells","CTSW","CTSW - mRNA","True"
"FOXP3 - mRNA","NM_014009.3:1230","NS_HS_GLIAL_V1.0","FOXP3","mRNA",0,"","","hsa05321","Treg","FOXP3","FOXP3 - mRNA","True"
"IL4 - mRNA","NM_000589.2:625","NS_HS_GLIAL_V1.0","IL4","mRNA",0,"","T-cell signaling;Cytokines","hsa04060;hsa04151;hsa04630;hsa04640;hsa04660;hsa04664;hsa04672;hsa05140;hsa05162;hsa05310;hsa05320;hsa05321;hsa05330","","IL4","IL4 - mRNA","True"
"CD209 - mRNA","NM_001144899.1:665","NS_HS_GLIAL_V1.0","CD209","mRNA",0,"","","hsa04145;hsa05152;hsa05162","DC","CD209","CD209 - mRNA","True"
"CCL3 - mRNA","NM_002983.2:159","NS_HS_GLIAL_V1.0","CCL3","mRNA",0,"","Chemokines","hsa04060;hsa04062;hsa04620;hsa05132;hsa05142;hsa05323","","CCL3","CCL3 - mRNA","True"
"NCR1 - mRNA","NM_004829.5:602","NS_HS_GLIAL_V1.0","NCR1","mRNA",0,"","","hsa04650","NK cells","NCR1","NCR1 - mRNA","True"
"CPA3 - mRNA","NM_001870.2:220","NS_HS_GLIAL_V1.0","CPA3","mRNA",0,"","","hsa04972;hsa04974","Mast cells","CPA3","CPA3 - mRNA","True"
"EOMES - mRNA","NM_005442.2:1670","NS_HS_GLIAL_V1.0","EOMES","mRNA",0,"","Neurogenesis","","Exhausted CD8","EOMES","EOMES - mRNA","True"
"TNF - mRNA","NM_000594.2:383","NS_HS_GLIAL_V1.0","TNF","mRNA",0,"","T-cell signaling;NO Metabolism and Signaling;NF-kappaB Signaling;Cytokines;Astrocyte DifferentiationFunction;Apoptosis;A1 Astrocyte","hsa04010;hsa04060;hsa04064;hsa04071;hsa04150;hsa04210;hsa04350;hsa04380;hsa04612;hsa04620;hsa04621;hsa04622;hsa04640;hsa04650;hsa04660;hsa04664;hsa04668;hsa04920;hsa04930;hsa04931;hsa04932;hsa04933;hsa04940;hsa05010;hsa05014;hsa05133;hsa05134;hsa05140;hsa05142;hsa05143;hsa05144;hsa05145;hsa05146;hsa05152;hsa05160;hsa05161;hsa05164;hsa05166;hsa05168;hsa05205;hsa05310;hsa05321;hsa05322;hsa05323;hsa05330;hsa05332;hsa05410;hsa05414","Macrophages_Microglia","TNF","TNF - mRNA","True"
"GZMA - mRNA","NM_006144.2:155","NS_HS_GLIAL_V1.0","GZMA","mRNA",0,"","Neuroactive Ligands and Receptors","hsa04080","Cytotoxic cells","GZMA","GZMA - mRNA","True"
"KIR2DL3 - mRNA","NM_015868.2:145","NS_HS_GLIAL_V1.0","KIR2DL3","mRNA",0,"","","hsa04612;hsa04650;hsa05332","NK CD56dim cells","KIR2DL3","KIR2DL3 - mRNA","True"
"SIGLEC5 - mRNA","NM_003830.3:1405","NS_HS_GLIAL_V1.0","SIGLEC5","mRNA",0,"","","","Neutrophils","SIGLEC5","SIGLEC5 - mRNA","True"
"NCF1 - mRNA","NM_000265.4:374","NS_HS_GLIAL_V1.0","NCF1","mRNA",0,"","Phagocytosis;Oxidative & Nitrosative Stress;Angiogenesis","hsa04062;hsa04145;hsa04380;hsa04666;hsa04670;hsa05140","Macrophages_Microglia","NCF1","NCF1 - mRNA","True"
"CD6 - mRNA","NM_001254751.1:1328","NS_HS_GLIAL_V1.0","CD6","mRNA",0,"","Cell Migration","hsa04514","T-cells","CD6","CD6 - mRNA","True"
"TH - mRNA","NM_000360.3:1306","NS_HS_GLIAL_V1.0","TH","mRNA",0,"","Dopaminergic Synapse","hsa04728;hsa04917;hsa05012;hsa05030;hsa05031;hsa05034","","TH","TH - mRNA","True"
"IGF1 - mRNA","NM_000618.3:491","NS_HS_GLIAL_V1.0","IGF1","mRNA",0,"","Primed Microglia;MAPK & PI3K;Hypoxia","hsa04014;hsa04015;hsa04066;hsa04068;hsa04114;hsa04115;hsa04150;hsa04151;hsa04152;hsa04211;hsa04213;hsa04510;hsa04550;hsa04730;hsa04750;hsa04913;hsa04914;hsa04960;hsa05200;hsa05202;hsa05205;hsa05214;hsa05215;hsa05218;hsa05410;hsa05414","","IGF1","IGF1 - mRNA","True"
"KLRB1 - mRNA","NM_002258.2:85","NS_HS_GLIAL_V1.0","KLRB1","mRNA",0,"","","hsa05144","Cytotoxic cells","KLRB1","KLRB1 - mRNA","True"
"SALL3 - mRNA","NM_171999.3:2970","NS_HS_GLIAL_V1.0","SALL3","mRNA",0,"","Neurogenesis","","","SALL3","SALL3 - mRNA","True"
"CD3D - mRNA","NM_000732.4:110","NS_HS_GLIAL_V1.0","CD3D","mRNA",0,"","T-cell signaling","hsa04640;hsa04660;hsa05142;hsa05162;hsa05166;hsa05340","T-cells","CD3D","CD3D - mRNA","True"
"CD19 - mRNA","XM_011545981.1:713","NS_HS_GLIAL_V1.0","CD19","mRNA",0,"","Complement System","hsa04151;hsa04640;hsa04662;hsa05169;hsa05340","B-cells","CD19","CD19 - mRNA","True"
"SH2D1A - mRNA","NM_002351.4:495","NS_HS_GLIAL_V1.0","SH2D1A","mRNA",0,"","","hsa04650;hsa05162","T-cells","SH2D1A","SH2D1A - mRNA","True"
"FCRL2 - mRNA","NM_001159488.1:132","NS_HS_GLIAL_V1.0","FCRL2","mRNA",0,"","","","B-cells","FCRL2","FCRL2 - mRNA","True"
"TRAT1 - mRNA","NM_016388.3:578","NS_HS_GLIAL_V1.0","TRAT1","mRNA",0,"","T-cell signaling","","T-cells","TRAT1","TRAT1 - mRNA","True"
"MS4A2 - mRNA","NM_000139.3:126","NS_HS_GLIAL_V1.0","MS4A2","mRNA",0,"","","hsa04071;hsa04072;hsa04664;hsa05310","Mast cells","MS4A2","MS4A2 - mRNA","True"
"IFIT3 - mRNA","NM_001031683.2:1470","NS_HS_GLIAL_V1.0","IFIT3","mRNA",0,"","Interferon Signaling","","","IFIT3","IFIT3 - mRNA","False"
"TPSAB1/B2 - mRNA","NM_003294.3:579","NS_HS_GLIAL_V1.0","TPSAB1/B2","mRNA",0,"","","","Mast cells","TPSAB1","TPSAB1/B2 - mRNA","False"
"KLRD1 - mRNA","NM_001351060.1:1868","NS_HS_GLIAL_V1.0","KLRD1","mRNA",0,"","","hsa04612;hsa04650;hsa05332","Cytotoxic cells","KLRD1","KLRD1 - mRNA","True"
"PTX3 - mRNA","NM_002852.3:1152","NS_HS_GLIAL_V1.0","PTX3","mRNA",0,"","NO Metabolism and Signaling;A2 Astrocyte","","","PTX3","PTX3 - mRNA","True"
"CD109 - mRNA","NM_133493.3:3840","NS_HS_GLIAL_V1.0","CD109","mRNA",0,"","A2 Astrocyte","","","CD109","CD109 - mRNA","True"
"LRRC25 - mRNA","NM_145256.2:796","NS_HS_GLIAL_V1.0","LRRC25","mRNA",0,"","","","Macrophages_Microglia","LRRC25","LRRC25 - mRNA","False"
"TLR3 - mRNA","NM_003265.2:230","NS_HS_GLIAL_V1.0","TLR3","mRNA",0,"","NF-kappaB Signaling","hsa04620;hsa05160;hsa05161;hsa05164;hsa05168","","TLR3","TLR3 - mRNA","False"
"KLRK1 - mRNA","NM_007360.1:760","NS_HS_GLIAL_V1.0","KLRK1","mRNA",0,"","","hsa04650;hsa05144","Cytotoxic cells","KLRK1","KLRK1 - mRNA","False"
"PTGIS - mRNA","NM_000961.3:1409","NS_HS_GLIAL_V1.0","PTGIS","mRNA",0,"","NO Metabolism and Signaling;Lipid Metabolism","hsa00590","","PTGIS","PTGIS - mRNA","False"
"CCR5 - mRNA","NM_000579.3:366","NS_HS_GLIAL_V1.0","CCR5","mRNA",0,"","Primed Microglia;Microglia Neurodegenerative Phenotype (MGnD);Chemokines","hsa04060;hsa04062;hsa04144;hsa05145;hsa05203","","CCR5","CCR5 - mRNA","False"
"TGM1 - mRNA","NM_000359.2:1595","NS_HS_GLIAL_V1.0","TGM1","mRNA",0,"","A2 Astrocyte","","","TGM1","TGM1 - mRNA","True"
"AGMO - mRNA","NM_001004320.1:320","NS_HS_GLIAL_V1.0","AGMO","mRNA",0,"","Lipid Metabolism","","","AGMO","AGMO - mRNA","False"
"FAM30A - mRNA","NR_026800.2:9125","NS_HS_GLIAL_V1.0","FAM30A","mRNA",0,"","","","B-cells","FAM30A","FAM30A - mRNA","True"
"CD3G - mRNA","NM_000073.2:404","NS_HS_GLIAL_V1.0","CD3G","mRNA",0,"","T-cell signaling","hsa04640;hsa04660;hsa05142;hsa05162;hsa05166","T-cells","CD3G","CD3G - mRNA","True"
"KIR3DL1 - mRNA","NM_001322168.1:466","NS_HS_GLIAL_V1.0","KIR3DL1","mRNA",0,"","","hsa04612;hsa04650;hsa05332","NK CD56dim cells","KIR3DL1","KIR3DL1 - mRNA","True"
"SLC10A6 - mRNA","NM_197965.2:646","NS_HS_GLIAL_V1.0","SLC10A6","mRNA",0,"","A2 Astrocyte","","","SLC10A6","SLC10A6 - mRNA","False"
"NGF - mRNA","NM_002506.2:634","NS_HS_GLIAL_V1.0","NGF","mRNA",0,"","Neurotrophin Signaling;Neurogenesis;Cytoskeletal Dynamics;Cytokines","hsa04010;hsa04014;hsa04015;hsa04151;hsa04210;hsa04722;hsa04750","","NGF","NGF - mRNA","False"
"GZMB - mRNA","NM_004131.3:540","NS_HS_GLIAL_V1.0","GZMB","mRNA",0,"","Apoptosis","hsa04650;hsa04940;hsa05202;hsa05320;hsa05330;hsa05332","Cytotoxic cells","GZMB","GZMB - mRNA","False"
"P2RY6 - mRNA","NM_176797.1:745","NS_HS_GLIAL_V1.0","P2RY6","mRNA",0,"","Purinergic Signaling;Neuroactive Ligands and Receptors","hsa04080","","P2RY6","P2RY6 - mRNA","True"
"SPHK1 - mRNA","NM_021972.2:895","NS_HS_GLIAL_V1.0","SPHK1","mRNA",0,"","Phagocytosis;Calcium Signaling;A2 Astrocyte","hsa00600;hsa04020;hsa04071;hsa04072;hsa04370;hsa04666;hsa05152","","SPHK1","SPHK1 - mRNA","False"
"CLCF1 - mRNA","NM_013246.2:452","NS_HS_GLIAL_V1.0","CLCF1","mRNA",0,"","Neurogenesis;Cytokines;A2 Astrocyte","hsa04060","","CLCF1","CLCF1 - mRNA","False"
"GNLY - mRNA","NM_006433.2:305","NS_HS_GLIAL_V1.0","GNLY","mRNA",0,"","","","Cytotoxic cells","GNLY","GNLY - mRNA","True"
"LAG3 - mRNA","NM_002286.5:1735","NS_HS_GLIAL_V1.0","LAG3","mRNA",0,"","Microglial Markers;Antigen Processing and Presentation","","Exhausted CD8","LAG3","LAG3 - mRNA","True"
"CD244 - mRNA","NM_001166663.1:1037","NS_HS_GLIAL_V1.0","CD244","mRNA",0,"","","hsa04650","Exhausted CD8","CD244","CD244 - mRNA","True"
"TNFRSF17 - mRNA","NM_001192.2:635","NS_HS_GLIAL_V1.0","TNFRSF17","mRNA",0,"","Cytokines","hsa04060;hsa04672","B-cells","TNFRSF17","TNFRSF17 - mRNA","True"
"LTC4S - mRNA","NM_145867.1:212","NS_HS_GLIAL_V1.0","LTC4S","mRNA",0,"","Microglial Markers;Lipid Metabolism","hsa00590","","LTC4S","LTC4S - mRNA","True"
"HDC - mRNA","NM_002112.3:1170","NS_HS_GLIAL_V1.0","HDC","mRNA",0,"","","","Mast cells","HDC","HDC - mRNA","True"
"PRF1 - mRNA","NM_001083116.1:631","NS_HS_GLIAL_V1.0","PRF1","mRNA",0,"","Apoptosis","hsa04650;hsa04940;hsa05320;hsa05330;hsa05332;hsa05416","Cytotoxic cells","PRF1","PRF1 - mRNA","True"
"MS4A1 - mRNA","NM_152866.2:620","NS_HS_GLIAL_V1.0","MS4A1","mRNA",0,"","","hsa04640","B-cells","MS4A1","MS4A1 - mRNA","True"
"TCL1A - mRNA","NM_001098725.1:370","NS_HS_GLIAL_V1.0","TCL1A","mRNA",0,"","","hsa04151","B-cells","TCL1A","TCL1A - mRNA","True"
"IL21R - mRNA","NM_181079.4:1250","NS_HS_GLIAL_V1.0","IL21R","mRNA",0,"","Cytokines","hsa04060;hsa04630;hsa05321","NK CD56dim cells","IL21R","IL21R - mRNA","True"
"IL1A - mRNA","NM_000575.3:1085","NS_HS_GLIAL_V1.0","IL1A","mRNA",0,"","Cytokines;A1 Astrocyte","hsa04010;hsa04060;hsa04210;hsa04380;hsa04640;hsa04932;hsa04933;hsa04940;hsa05020;hsa05132;hsa05133;hsa05140;hsa05152;hsa05162;hsa05164;hsa05321;hsa05323;hsa05332","","IL1A","IL1A - mRNA","True"
"OR5V1 - mRNA","NM_030876.5:734","NS_HS_GLIAL_V1.0","OR5V1","mRNA",0,"","","hsa04740","","OR5V1","OR5V1 - mRNA","True"
"SPIB - mRNA","NM_003121.4:28","NS_HS_GLIAL_V1.0","SPIB","mRNA",0,"","","","B-cells","SPIB","SPIB - mRNA","True"
"BLK - mRNA","NM_001715.2:990","NS_HS_GLIAL_V1.0","BLK","mRNA",0,"","","","B-cells","BLK","BLK - mRNA","True"
"CCL13 - mRNA","NM_005408.2:320","NS_HS_GLIAL_V1.0","CCL13","mRNA",0,"","NF-kappaB Signaling;Chemokines","hsa04060;hsa04062;hsa04064","DC","CCL13","CCL13 - mRNA","True"
"GPR84 - mRNA","NM_020370.2:1183","NS_HS_GLIAL_V1.0","GPR84","mRNA",0,"","Primed Microglia","","Macrophages_Microglia","GPR84","GPR84 - mRNA","True"
"IL10 - mRNA","NM_000572.2:230","NS_HS_GLIAL_V1.0","IL10","mRNA",0,"","T-cell signaling;NO Metabolism and Signaling;Cytokines","hsa04060;hsa04068;hsa04630;hsa04660;hsa04672;hsa05133;hsa05140;hsa05142;hsa05143;hsa05144;hsa05145;hsa05146;hsa05150;hsa05152;hsa05169;hsa05310;hsa05320;hsa05321;hsa05322;hsa05330","","IL10","IL10 - mRNA","True"
"PTGER4 - mRNA","NM_000958.2:976","NS_HS_GLIAL_V1.0","PTGER4","mRNA",0,"","Neuroactive Ligands and Receptors","hsa04080;hsa04750;hsa04924;hsa05200","Exhausted CD8","PTGER4","PTGER4 - mRNA","True"
"CYSLTR1 - mRNA","NM_001282186.1:1300","NS_HS_GLIAL_V1.0","CYSLTR1","mRNA",0,"","Neuroactive Ligands and Receptors;Calcium Signaling","hsa04020;hsa04080","","CYSLTR1","CYSLTR1 - mRNA","True"
"CD33 - mRNA","NM_001177608.1:866","NS_HS_GLIAL_V1.0","CD33","mRNA",0,"","Microglia Neurodegenerative Phenotype (MGnD)","hsa04640","","CD33","CD33 - mRNA","True"
"NKG7 - mRNA","NM_005601.3:543","NS_HS_GLIAL_V1.0","NKG7","mRNA",0,"","","","Cytotoxic cells","NKG7","NKG7 - mRNA","True"
"MKI67 - mRNA","NM_002417.2:4020","NS_HS_GLIAL_V1.0","MKI67","mRNA",0,"","Cell Cycle","","","MKI67","MKI67 - mRNA","True"
"GDNF - mRNA","NM_000514.2:580","NS_HS_GLIAL_V1.0","GDNF","mRNA",0,"","Neurogenesis;Cytokines","","","GDNF","GDNF - mRNA","True"
"XCL1/2 - mRNA","NM_002995.2:266","NS_HS_GLIAL_V1.0","XCL1/2","mRNA",0,"","Cytokines;Chemokines","hsa04060;hsa04062","NK cells","XCL1","XCL1/2 - mRNA","True"
"CEACAM3 - mRNA","NM_001815.3:527","NS_HS_GLIAL_V1.0","CEACAM3","mRNA",0,"","","","Neutrophils","CEACAM3","CEACAM3 - mRNA","True"
"BCAS1 - mRNA","NM_003657.3:673","NS_HS_GLIAL_V1.0","BCAS1","mRNA",0,"","Myelogenesis","","Oligodendrocytes","BCAS1","BCAS1 - mRNA","True"
"HPGDS - mRNA","NM_014485.2:430","NS_HS_GLIAL_V1.0","HPGDS","mRNA",0,"","Microglial Markers;Lipid Metabolism","hsa00590","","HPGDS","HPGDS - mRNA","True"
"NINJ2 - mRNA","NM_016533.6:404","NS_HS_GLIAL_V1.0","NINJ2","mRNA",0,"","","","Oligodendrocytes","NINJ2","NINJ2 - mRNA","True"
"CD200R1 - mRNA","NM_138806.3:381","NS_HS_GLIAL_V1.0","CD200R1","mRNA",0,"","Microglial Markers","","","CD200R1","CD200R1 - mRNA","True"
"PRKCQ - mRNA","NM_006257.2:1325","NS_HS_GLIAL_V1.0","PRKCQ","mRNA",0,"","T-cell signaling;NF-kappaB Signaling","hsa04064;hsa04270;hsa04530;hsa04660;hsa04750;hsa04920;hsa04931;hsa05162","Oligodendrocytes","PRKCQ","PRKCQ - mRNA","True"
"P2RY1 - mRNA","NM_002563.2:970","NS_HS_GLIAL_V1.0","P2RY1","mRNA",0,"","Purinergic Signaling;Neuroactive Ligands and Receptors","hsa04015;hsa04080;hsa04611;hsa04742","","P2RY1","P2RY1 - mRNA","True"
"TBX21 - mRNA","NM_013351.1:890","NS_HS_GLIAL_V1.0","TBX21","mRNA",0,"","","hsa05321","Th1 cells","TBX21","TBX21 - mRNA","True"
"CST7 - mRNA","NM_003650.3:525","NS_HS_GLIAL_V1.0","CST7","mRNA",0,"","Stage 2 DAM;Primed Microglia;Microglia Neurodegenerative Phenotype (MGnD)","","","CST7","CST7 - mRNA","True"
"CD8A - mRNA","NM_001768.6:1085","NS_HS_GLIAL_V1.0","CD8A","mRNA",0,"","T-cell signaling","hsa04514;hsa04612;hsa04640;hsa04660;hsa05340","CD8 T cells","CD8A","CD8A - mRNA","True"
"CSPG4 - mRNA","NM_001897.4:125","NS_HS_GLIAL_V1.0","CSPG4","mRNA",0,"","Neurogenesis","","","CSPG4","CSPG4 - mRNA","True"
"GFAP - mRNA","NM_002055.4:589","NS_HS_GLIAL_V1.0","GFAP","mRNA",0,"","JAK-STAT;Cytoskeletal Dynamics;Astrocyte Markers;Astrocyte DifferentiationFunction","hsa04630","","GFAP","GFAP - mRNA","False"
"GLUL - mRNA","NM_002065.6:1485","NS_HS_GLIAL_V1.0","GLUL","mRNA",0,"","Primed Microglia;Microglia Neurodegenerative Phenotype (MGnD);Glutamatergic Synapse;GABAergic Synapse","hsa00220;hsa00250;hsa00630;hsa04724;hsa04727","","GLUL","GLUL - mRNA","False"
"TMSB4X - mRNA","NM_021109.4:86","NS_HS_GLIAL_V1.0","TMSB4X","mRNA",0,"","Homeostatic Microglia;Cytoskeletal Dynamics","hsa04810","","TMSB4X","TMSB4X - mRNA","False"
"CALM2 - mRNA","NM_001743.4:416","NS_HS_GLIAL_V1.0","CALM2","mRNA",0,"","Calcium Signaling","hsa04014;hsa04015;hsa04020;hsa04022;hsa04024;hsa04070;hsa04114;hsa04261;hsa04270;hsa04713;hsa04720;hsa04722;hsa04728;hsa04740;hsa04750;hsa04910;hsa04912;hsa04915;hsa04916;hsa04921;hsa04922;hsa04924;hsa04925;hsa04970;hsa04971;hsa05010;hsa05031;hsa05034;hsa05133;hsa05152;hsa05214","","CALM2","CALM2 - mRNA","False"
"CALM1 - mRNA","NM_006888.4:299","NS_HS_GLIAL_V1.0","CALM1","mRNA",0,"","Calcium Signaling","hsa04014;hsa04015;hsa04020;hsa04022;hsa04024;hsa04070;hsa04114;hsa04261;hsa04270;hsa04713;hsa04720;hsa04722;hsa04728;hsa04740;hsa04750;hsa04910;hsa04912;hsa04915;hsa04916;hsa04921;hsa04922;hsa04924;hsa04925;hsa04970;hsa04971;hsa05010;hsa05031;hsa05034;hsa05133;hsa05152;hsa05214","","CALM1","CALM1 - mRNA","False"
"FTH1 - mRNA","NM_002032.2:392","NS_HS_GLIAL_V1.0","FTH1","mRNA",0,"","Stage 1 DAM;Microglia Neurodegenerative Phenotype (MGnD)","hsa04978","","FTH1","FTH1 - mRNA","False"
"SYT1 - mRNA","NM_005639.2:1736","NS_HS_GLIAL_V1.0","SYT1","mRNA",0,"","Serotonergic Synapse;Neuronal Markers;Neurogenesis;Glutamatergic Synapse;GABAergic Synapse;Dopaminergic Synapse;Cholinergic Synapse","hsa04721","","SYT1","SYT1 - mRNA","False"
"YWHAH - mRNA","NM_003405.3:552","NS_HS_GLIAL_V1.0","YWHAH","mRNA",0,"","Neurogenesis;Cell Cycle","hsa04110;hsa04114;hsa04151;hsa04390;hsa05169;hsa05203","","YWHAH","YWHAH - mRNA","False"
"GPM6A - mRNA","NM_005277.3:790","NS_HS_GLIAL_V1.0","GPM6A","mRNA",0,"","Neurogenesis;Cytoskeletal Dynamics;Astrocyte Markers","","","GPM6A","GPM6A - mRNA","False"
"APP - mRNA","NM_000484.3:1725","NS_HS_GLIAL_V1.0","APP","mRNA",0,"","Serotonergic Synapse;Neurogenesis;Cytoskeletal Dynamics;Astrocyte DifferentiationFunction","hsa04726;hsa05010","","APP","APP - mRNA","False"
"RTN4 - mRNA","NM_007008.2:275","NS_HS_GLIAL_V1.0","RTN4","mRNA",0,"","Neurogenesis;Blood Brain Barrier","","","RTN4","RTN4 - mRNA","False"
"YWHAZ - mRNA","NM_001135699.1:515","NS_HS_GLIAL_V1.0","YWHAZ","mRNA",0,"","Wnt Signaling;Neurogenesis;Cell Cycle","hsa04110;hsa04114;hsa04151;hsa04390;hsa05130;hsa05161;hsa05169;hsa05203","","YWHAZ","YWHAZ - mRNA","False"
"CAMK2A - mRNA","NM_001363989.1:1392","NS_HS_GLIAL_V1.0","CAMK2A","mRNA",0,"","Calcium Signaling","hsa04012;hsa04020;hsa04024;hsa04066;hsa04114;hsa04261;hsa04310;hsa04713;hsa04720;hsa04722;hsa04725;hsa04728;hsa04740;hsa04750;hsa04911;hsa04912;hsa04916;hsa04921;hsa04922;hsa04925;hsa04971;hsa05031;hsa05152;hsa05205;hsa05214","","CAMK2A","CAMK2A - mRNA","False"
"SNAP25 - mRNA","NM_003081.3:284","NS_HS_GLIAL_V1.0","SNAP25","mRNA",0,"","Serotonergic Synapse;Glutamatergic Synapse;GABAergic Synapse;Dopaminergic Synapse;Cholinergic Synapse","hsa04721;hsa04911","","SNAP25","SNAP25 - mRNA","False"
"UCHL1 - mRNA","NM_004181.4:579","NS_HS_GLIAL_V1.0","UCHL1","mRNA",0,"","Neurogenesis;Cytoskeletal Dynamics","hsa05012","","UCHL1","UCHL1 - mRNA","False"
"SKP1 - mRNA","NM_006930.3:318","NS_HS_GLIAL_V1.0","SKP1","mRNA",0,"","Wnt Signaling;Proteotoxic Stress;Circadian Signaling;Cell Cycle","hsa04110;hsa04114;hsa04120;hsa04141;hsa04310;hsa04350;hsa04710;hsa05168","","SKP1","SKP1 - mRNA","False"
"HSP90AB1 - mRNA","NM_007355.3:1530","NS_HS_GLIAL_V1.0","HSP90AB1","mRNA",0,"","Proteotoxic Stress;Inflammasome;Cytoskeletal Dynamics","hsa04141;hsa04151;hsa04612;hsa04621;hsa04914;hsa04915;hsa05200;hsa05215","","HSP90AB1","HSP90AB1 - mRNA","False"
"B2M - mRNA","NM_004048.2:235","NS_HS_GLIAL_V1.0","B2M","mRNA",0,"","Stage 1 DAM;Primed Microglia;Antigen Processing and Presentation","hsa04612","","B2M","B2M - mRNA","False"
"CST3 - mRNA","NM_000099.2:402","NS_HS_GLIAL_V1.0","CST3","mRNA",0,"","Homeostatic Microglia","hsa04970","","CST3","CST3 - mRNA","False"
"SLC1A3 - mRNA","NM_004172.4:558","NS_HS_GLIAL_V1.0","SLC1A3","mRNA",0,"","Glutamatergic Synapse","hsa04724","","SLC1A3","SLC1A3 - mRNA","False"
"CKB - mRNA","NM_001823.4:320","NS_HS_GLIAL_V1.0","CKB","mRNA",0,"","Primed Microglia;Astrocyte Markers","","","CKB","CKB - mRNA","False"
"MBP - mRNA","NM_002385.2:132","NS_HS_GLIAL_V1.0","MBP","mRNA",0,"","Oligodendrocyte Markers;Myelogenesis","","","MBP","MBP - mRNA","False"
"AQP4 - mRNA","NM_004028.4:1169","NS_HS_GLIAL_V1.0","AQP4","mRNA",0,"","Astrocyte Markers","hsa04962;hsa04976","","AQP4","AQP4 - mRNA","False"
"PLP1 - mRNA","NM_000533.3:758","NS_HS_GLIAL_V1.0","PLP1","mRNA",0,"","Oligodendrocyte Markers;Oligodendrocyte DifferentiationMaturation;Myelogenesis;Astrocyte DifferentiationFunction","","","PLP1","PLP1 - mRNA","False"
"NCAM1 - mRNA","NM_000615.5:1620","NS_HS_GLIAL_V1.0","NCAM1","mRNA",0,"","Neuronal Markers;Neurogenesis;Cell Migration","hsa04514;hsa05020","","NCAM1","NCAM1 - mRNA","False"
"YWHAQ - mRNA","NM_006826.3:558","NS_HS_GLIAL_V1.0","YWHAQ","mRNA",0,"","Cell Cycle","hsa04110;hsa04114;hsa04151;hsa04390;hsa05130;hsa05161;hsa05169;hsa05203","","YWHAQ","YWHAQ - mRNA","False"
"SIRPA - mRNA","NM_001040022.1:1573","NS_HS_GLIAL_V1.0","SIRPA","mRNA",0,"","NO Metabolism and Signaling","hsa04380","","SIRPA","SIRPA - mRNA","False"
"CTNNB1 - mRNA","NM_001098210.1:1815","NS_HS_GLIAL_V1.0","CTNNB1","mRNA",0,"","Wnt Signaling","hsa04015;hsa04310;hsa04390;hsa04510;hsa04520;hsa04530;hsa04550;hsa04670;hsa04916;hsa04919;hsa05100;hsa05130;hsa05166;hsa05200;hsa05205;hsa05210;hsa05213;hsa05215;hsa05216;hsa05412","","CTNNB1","CTNNB1 - mRNA","False"
"MAP1LC3B - mRNA","NM_022818.5:153","NS_HS_GLIAL_V1.0","MAP1LC3B","mRNA",0,"","Autophagy","","","MAP1LC3B","MAP1LC3B - mRNA","False"
"THY1 - mRNA","NM_006288.4:1378","NS_HS_GLIAL_V1.0","THY1","mRNA",0,"","Neurogenesis;Cytoskeletal Dynamics","hsa04670","","THY1","THY1 - mRNA","False"
"SLC8A1 - mRNA","NM_021097.1:440","NS_HS_GLIAL_V1.0","SLC8A1","mRNA",0,"","Calcium Signaling","hsa04020;hsa04022;hsa04260;hsa04261;hsa04740;hsa04961;hsa04974;hsa04978;hsa05410;hsa05412;hsa05414","","SLC8A1","SLC8A1 - mRNA","False"
"SLC25A4 - mRNA","NM_001151.4:375","NS_HS_GLIAL_V1.0","SLC25A4","mRNA",0,"","Calcium Signaling","hsa04020;hsa04022;hsa05012;hsa05016;hsa05166","","SLC25A4","SLC25A4 - mRNA","False"
"PIK3R1 - mRNA","NM_181504.2:1105","NS_HS_GLIAL_V1.0","PIK3R1","mRNA",0,"","MAPK & PI3K","hsa04012;hsa04014;hsa04015;hsa04022;hsa04024;hsa04062;hsa04066;hsa04068;hsa04070;hsa04071;hsa04072;hsa04150;hsa04151;hsa04152;hsa04210;hsa04211;hsa04213;hsa04261;hsa04370;hsa04380;hsa04510;hsa04550;hsa04611;hsa04620;hsa04630;hsa04650;hsa04660;hsa04662;hsa04664;hsa04666;hsa04668;hsa04670;hsa04722;hsa04725;hsa04750;hsa04810;hsa04910;hsa04914;hsa04915;hsa04917;hsa04919;hsa04921;hsa04923;hsa04930;hsa04931;hsa04932;hsa04933;hsa04960;hsa04973;hsa05100;hsa05142;hsa05145;hsa05146;hsa05160;hsa05161;hsa05162;hsa05164;hsa05166;hsa05169;hsa05200;hsa05203;hsa05205;hsa05210;hsa05211;hsa05212;hsa05213;hsa05214;hsa05215;hsa05218;hsa05220;hsa05221;hsa05222;hsa05223;hsa05230;hsa05231","","PIK3R1","PIK3R1 - mRNA","False"
